"quantile","target_end_date","location","target","truth","value","model","window_size"
0.1,2020-08-29,"28","1 wk ahead cum death",2427,2355.13389190306,"QNA3",4
0.1,2020-08-29,"56","1 wk ahead cum death",37,38.7424328604618,"QNA3",4
0.1,2020-08-29,"02","1 wk ahead cum death",37,32.8365421539819,"QNA3",4
0.1,2020-08-29,"26","1 wk ahead cum death",6712,6697.84773234226,"QNA3",4
0.1,2020-08-29,"44","1 wk ahead cum death",1046,1031.71266450847,"QNA3",4
0.1,2020-08-29,"19","1 wk ahead cum death",1100,1077.87377003366,"QNA3",4
0.1,2020-08-29,"10","1 wk ahead cum death",604,600.619407654786,"QNA3",4
0.1,2020-08-29,"25","1 wk ahead cum death",9036,8969.58059262158,"QNA3",4
0.1,2020-08-29,"05","1 wk ahead cum death",772,738.712084302078,"QNA3",4
0.1,2020-08-29,"09","1 wk ahead cum death",4465,4461.7121329797,"QNA3",4
0.1,2020-08-29,"38","1 wk ahead cum death",141,141.590919332394,"QNA3",4
0.1,2020-08-29,"49","1 wk ahead cum death",407,397.477017250148,"QNA3",4
0.1,2020-08-29,"13","1 wk ahead cum death",5576,5461.67944392897,"QNA3",4
0.1,2020-08-29,"37","1 wk ahead cum death",2683,2660.0585047332,"QNA3",4
0.1,2020-08-29,"45","1 wk ahead cum death",2698,2649.29319410655,"QNA3",4
0.1,2020-08-29,"23","1 wk ahead cum death",132,131.79495273751,"QNA3",4
0.1,2020-08-29,"30","1 wk ahead cum death",104,93.0937823455657,"QNA3",4
0.1,2020-08-29,"33","1 wk ahead cum death",432,430.902200476252,"QNA3",4
0.1,2020-08-29,"06","1 wk ahead cum death",12894,13002.82452602,"QNA3",4
0.1,2020-08-29,"22","1 wk ahead cum death",4904,4858.98783153972,"QNA3",4
0.1,2020-08-29,"39","1 wk ahead cum death",4126,4082.02534964716,"QNA3",4
0.1,2020-08-29,"50","1 wk ahead cum death",58,57.995713589595,"QNA3",4
0.1,2020-08-29,"21","1 wk ahead cum death",921,916.677999172887,"QNA3",4
0.1,2020-08-29,"35","1 wk ahead cum death",769,764.056605959942,"QNA3",4
0.1,2020-08-29,"US","1 wk ahead cum death",183021,182250.256372962,"QNA3",4
0.1,2020-08-29,"24","1 wk ahead cum death",3746,3720.94105618262,"QNA3",4
0.1,2020-08-29,"27","1 wk ahead cum death",1863,1847.95578670469,"QNA3",4
0.1,2020-08-29,"34","1 wk ahead cum death",15933,15960.824251322,"QNA3",4
0.1,2020-08-29,"20","1 wk ahead cum death",449,441.253448369726,"QNA3",4
0.1,2020-08-29,"12","1 wk ahead cum death",11105,11018.5930978412,"QNA3",4
0.1,2020-08-29,"16","1 wk ahead cum death",358,330.460425936402,"QNA3",4
0.1,2020-08-29,"51","1 wk ahead cum death",2568,2499.71377087731,"QNA3",4
0.1,2020-08-29,"18","1 wk ahead cum death",3285,3293.06031564691,"QNA3",4
0.1,2020-08-29,"36","1 wk ahead cum death",32891,32898.3814014615,"QNA3",4
0.1,2020-08-29,"32","1 wk ahead cum death",1302,1292.77420255296,"QNA3",4
0.1,2020-08-29,"15","1 wk ahead cum death",62,48.7678395950638,"QNA3",4
0.1,2020-08-29,"17","1 wk ahead cum death",8217,8195.80485780258,"QNA3",4
0.1,2020-08-29,"46","1 wk ahead cum death",167,162.267189637679,"QNA3",4
0.1,2020-08-29,"54","1 wk ahead cum death",215,188.508742080865,"QNA3",4
0.1,2020-08-29,"31","1 wk ahead cum death",392,383.843976818209,"QNA3",4
0.1,2020-08-29,"48","1 wk ahead cum death",12987,12590.7836739511,"QNA3",4
0.1,2020-08-29,"08","1 wk ahead cum death",1942,1935.31650180885,"QNA3",4
0.1,2020-08-29,"53","1 wk ahead cum death",1899,1920.04008108107,"QNA3",4
0.1,2020-08-29,"40","1 wk ahead cum death",797,775.453497252059,"QNA3",4
0.1,2020-08-29,"41","1 wk ahead cum death",454,434.992105171868,"QNA3",4
0.1,2020-08-29,"47","1 wk ahead cum death",1725,1701.04414810307,"QNA3",4
0.15,2020-08-29,"55","1 wk ahead cum death",1178,1115.22625359017,"QNA3",4
0.15,2020-08-29,"56","1 wk ahead cum death",37,39.2162746626804,"QNA3",4
0.15,2020-08-29,"19","1 wk ahead cum death",1100,1080.50944433516,"QNA3",4
0.15,2020-08-29,"23","1 wk ahead cum death",132,132.000648432083,"QNA3",4
0.15,2020-08-29,"30","1 wk ahead cum death",104,93.8173054970626,"QNA3",4
0.15,2020-08-29,"US","1 wk ahead cum death",183021,182375.903596691,"QNA3",4
0.15,2020-08-29,"21","1 wk ahead cum death",921,919.683150911937,"QNA3",4
0.15,2020-08-29,"42","1 wk ahead cum death",7656,7636.75721772422,"QNA3",4
0.15,2020-08-29,"50","1 wk ahead cum death",58,58.0024137416492,"QNA3",4
0.15,2020-08-29,"45","1 wk ahead cum death",2698,2654.62705534798,"QNA3",4
0.15,2020-08-29,"53","1 wk ahead cum death",1899,1923.51069581369,"QNA3",4
